NUMERO_REGISTRO_record_number,DENOMINACION_FOSA_grave_name,TIPO_FOSA_grave_type,FECHA_FOSA_grave_date,MUNICIPIO_municipality,PROVINCIA_province,COMAUTONOM_autonomous_community,TIPO_INTERVENCION_intervention_type,FECHA_INTERVENCION_intervention_date,ESTADO_ACTUAL_current_grave_status,NUMERO_PERSONAS_FOSA_number_people_grave,NUMERO_PERSONAS_EXHUMADAS_number_people_exhumed,NUMERO_PERSONAS_IDENTIFICADAS_number_people_identified,ENTIDAD_PROMOTORA_sponsoring_institution,ENTIDAD_INFORMANTE_reporting_entity,OBSERVACIONES_observations,,
1069/2009 ALME,NO CONSTA,,,Almería,Almería,Andalucía,,,TRASLADADA AL VALLE DE LOS CAÍDOS,73,73,73,,Patrimonio Nacional,"Trasladada al Valle de los Caídos con la fecha/s:26/03/1959,27/01/1961,16/02/1962,10/02/1963,12/02/1964,13/05/1968",,
1193/2009 ALME,NO CONSTA,,,Almería,Almería,Andalucía,,,TRASLADADA AL VALLE DE LOS CAÍDOS,1,1,1,,Patrimonio Nacional,Trasladada al Valle de los Caídos con la fecha/s:24/10/1975,,
1793/2010 ALME,Fosas en el Cementerio de San José y Santa Adela,FUSILAMIENTO,,Almería,Almería,Andalucía,,,NO INTERVENIDA,180,,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"Una vez terminada la Guerra Civil se produce una gran represión en la provincia de Almería a través de los Consejos de Guerra, entre 1939 y 1947 más de 370 personas fueron fusiladas. En el cementerio de Almería se encuentran referenciadas numerosas fosas, al menos siete zonas de enterramiento, en el primer recinto, a la derecha de la puerta de acceso, aunque las obras realizadas y la construcción de nichos ha alterado notablemente el aspecto del recinto y resulta casi imposible localizar las fosa comunes. Según algunos testimonios, como consecuencia de las obras realizadas, los restos de alguna de las víctimas fueron recuperados por familiares y los demás restos fueron llevados a un osario común, del que también se desconoce su ubicación.",,
2384/2011 ALME,Fosa del Cementerio de Berja,,,Berja,Almería,Andalucía,,,DESAPARECIDA,,,,AYUNTAMIENTO,Consejería de Gobernación y Justicia de la Junta de Andalucía,"La fosa se encuentra en un pasillo del cementerio, a la izquierda de la puerta de acceso. En el Cementerio de Berja se excavó una fosa para albergar los cadáveres de un número indeterminado de personas fusiladas de forma indiscriminada. Encima de lugar donde se encontraba la fosa se construyó una hilera de nichos de modo que, hoy por hoy, resultaría imposible realizar cualquier tipo de estudio sobre la misma. Según parece, hace unas décadas, familiares de las víctimas sacaron algunos restos que trasladaron al osario.",,
1070/2009 ALME,NO CONSTA,,,Illar,Almería,Andalucía,,,TRASLADADA AL VALLE DE LOS CAÍDOS,1,1,1,,Patrimonio Nacional,Trasladada al Valle de los Caídos con la fecha/s:07/02/1975,,
2031/2010 ALME,Fosa del cementerio nuevo de Sierro,GUERRILLERA,19/05/1947,Sierro,Almería,Andalucía,INVESTIGACIÓN,11/25/2010,EXHUMADA TOTAL,2,2,2,Familiares / Asociación Rocamar,Consejería de Gobernación y Justicia de la Junta de Andalucía,"""Esta fosa se encuentra en el cementerio nuevo de Sierro, al final del pasillo a la dercha, junto al muro. Allí fueron enterrados los restos de dos guerrilleros abatidos el 18 de mayo de 1947 en el barranco """"de los Ceferinos"""". Tras las necesarias labores de investigación y documentación, la localización se realizó en julio de 2010. El 25 de noviembre de 2010 se firmó el convenio de colaboración entre la Junta de Andalucía, el Ayuntamiento de Sierro y la Asociación para la Recuperación de la Memoria Histórica Rocamar para la excavación y exhumación de los restos. En un acto celebrado el 16 de abril de 2011 fueron entregados a su familia los restos de Indalecio Fuentes Aguero  siendo enterrados los restos de las dos víctimas en el cementerio de Uleila del Campo.""","
",
2031/2010 ALME,Fosa del cementerio nuevo de Sierro,GUERRILLERA,19/05/1947,Sierro,Almería,Andalucía,PROSPECCIÓN,7/9/2010,EXHUMADA TOTAL,2,2,2,Familiares / Asociación Rocamar,Consejería de Gobernación y Justicia de la Junta de Andalucía,"""Esta fosa se encuentra en el cementerio nuevo de Sierro, al final del pasillo a la dercha, junto al muro. Allí fueron enterrados los restos de dos guerrilleros abatidos el 18 de mayo de 1947 en el barranco """"de los Ceferinos"""". Tras las necesarias labores de investigación y documentación, la localización se realizó en julio de 2010. El 25 de noviembre de 2010 se firmó el convenio de colaboración entre la Junta de Andalucía, el Ayuntamiento de Sierro y la Asociación para la Recuperación de la Memoria Histórica Rocamar para la excavación y exhumación de los restos. En un acto celebrado el 16 de abril de 2011 fueron entregados a su familia los restos de Indalecio Fuentes Aguero siendo enterrados los restos de las dos víctimas en el cementerio de Uleila del Campo.""","
",
1850/2010 CADI,Fosa en el cementerio de Alcalá del Valle,,,Alcalá del Valle,Cádiz,Andalucía,,,NO INTERVENIDA,,,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"Los testimonios recogidos hacen referencia a la existencia de una fosa común dentro del cementerio, que podría contener entre 10 y 12 individuos, si bien esta fosa ha podido ser alterada por la construcción de un enterramiento.",,
1851/2010 CADI,Fosa en el cementerio de Algar,,,Algar,Cádiz,Andalucía,,,DESAPARECIDA,,,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"En la localidad de Algar se tiene referencia de la existencia de una fosa en el cementerio municipal con un número indeterminado de personas inhumadas en ella. Sobre esta fosa se realizó una actuación (construcción de unos nichos) y se produjo una reubicación de los restos en una huesera, donde se encuentran actualmente.",,
1919/2010 CADI,Fosa en cementerio viejo de Algeciras,,,Algeciras,Cádiz,Andalucía,,,NO INTERVENIDA,,,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"Según la información proporcionada, en el cementerio viejo de Algeciras se localizaría una fosa común con al menos catorce víctimas enterradas.",,
